,usage_dateID_zulu,usage_timeID_zulu,sunlight_duration_minutes,usage_kWh,passengers,atms
276,20190106,182959,867.32,934.46,1311.0,11.0
277,20190106,185959,867.32,1002.73,1200.0,9.0
278,20190106,192959,867.32,918.62,1388.0,11.0
279,20190106,195959,867.32,943.26,1070.0,12.0
280,20190106,202959,867.32,884.48,973.0,9.0
281,20190106,205959,867.32,841.54,466.0,6.0
282,20190106,212959,867.32,940.79,999.0,8.0
283,20190106,215959,867.32,872.51,862.0,9.0
284,20190106,222959,867.32,816.89,915.0,6.0
285,20190106,225959,867.32,779.59,265.0,2.0
286,20190106,232959,867.32,584.25,326.0,2.0
287,20190106,235959,867.32,472.33,0.0,0.0
288,20190107,2959,871.5,385.75,139.0,1.0
289,20190107,5959,871.5,380.12,0.0,0.0
290,20190107,12959,871.5,401.59,0.0,0.0
291,20190107,15959,871.5,367.45,0.0,0.0
292,20190107,22959,871.5,364.28,0.0,0.0
293,20190107,25959,871.5,559.61,0.0,0.0
294,20190107,32959,871.5,773.26,0.0,0.0
295,20190107,35959,871.5,732.78,0.0,1.0
296,20190107,42959,871.5,773.26,0.0,0.0
297,20190107,45959,871.5,854.21,0.0,1.0
298,20190107,52959,871.5,844.71,0.0,0.0
299,20190107,55959,871.5,823.23,625.0,5.0
300,20190107,62959,871.5,884.34,1419.0,12.0
301,20190107,65959,871.5,942.96,1152.0,10.0
302,20190107,72959,871.5,831.32,907.0,10.0
303,20190107,75959,871.5,902.59,660.0,8.0
304,20190107,82959,871.5,884.34,1067.0,10.0
305,20190107,85959,871.5,961.91,1353.0,13.0
306,20190107,92959,871.5,900.13,816.0,9.0
307,20190107,95959,871.5,1045.82,1172.0,13.0
308,20190107,102959,871.5,1018.09,1065.0,12.0
309,20190107,105959,871.5,1141.67,1248.0,10.0
310,20190107,112959,871.5,878.71,891.0,11.0
311,20190107,115959,871.5,1150.44,718.0,7.0
312,20190107,122959,871.5,989.65,1296.0,10.0
313,20190107,125959,871.5,1181.33,849.0,6.0
314,20190107,132959,871.5,1144.83,1183.0,10.0
315,20190107,135959,871.5,1203.45,650.0,5.0
316,20190107,142959,871.5,1076.72,762.0,10.0
317,20190107,145959,871.5,1391.98,1245.0,9.0
318,20190107,152959,871.5,1141.67,694.0,10.0
319,20190107,155959,871.5,1327.03,1039.0,9.0
320,20190107,162959,871.5,1098.13,869.0,9.0
321,20190107,165959,871.5,1289.11,1500.0,13.0
322,20190107,172959,871.5,1061.98,1020.0,11.0
323,20190107,175959,871.5,1305.97,1600.0,14.0
324,20190107,182959,871.5,1105.51,652.0,9.0
325,20190107,185959,871.5,1287.72,1174.0,14.0
326,20190107,192959,871.5,1043.73,1015.0,11.0
327,20190107,195959,871.5,1266.3,554.0,8.0
328,20190107,202959,871.5,1012.83,670.0,11.0
329,20190107,205959,871.5,1318.61,493.0,6.0
330,20190107,212959,871.5,969.3,391.0,6.0
331,20190107,215959,871.5,1101.65,496.0,6.0
332,20190107,222959,871.5,795.87,554.0,8.0
333,20190107,225959,871.5,969.3,230.0,3.0
334,20190107,232959,871.5,762.52,0.0,2.0
335,20190107,235959,871.5,694.41,182.0,1.0
336,20190108,2959,875.9,524.14,183.0,2.0
337,20190108,5959,875.9,481.31,0.0,1.0
338,20190108,12959,875.9,546.26,0.0,2.0
339,20190108,15959,875.9,543.1,0.0,2.0
340,20190108,22959,875.9,512.2,0.0,1.0
341,20190108,25959,875.9,749.88,0.0,0.0
342,20190108,32959,875.9,1099.19,0.0,0.0
343,20190108,35959,875.9,1182.4,171.0,1.0
344,20190108,42959,875.9,1164.14,0.0,0.0
345,20190108,45959,875.9,1445.35,0.0,0.0
346,20190108,52959,875.9,1290.88,0.0,2.0
347,20190108,55959,875.9,1489.58,598.0,7.0
348,20190108,62959,875.9,1305.62,818.0,9.0
349,20190108,65959,875.9,1549.61,1266.0,13.0
350,20190108,72959,875.9,1311.93,924.0,8.0
351,20190108,75959,875.9,1583.66,585.0,8.0
352,20190108,82959,875.9,1400.75,409.0,6.0
353,20190108,85959,875.9,1549.61,758.0,7.0
354,20190108,92959,875.9,1281.03,972.0,10.0
355,20190108,95959,875.9,1583.66,415.0,7.0
356,20190108,102959,875.9,1216.08,777.0,9.0
357,20190108,105959,875.9,1555.92,372.0,3.0
358,20190108,112959,875.9,1039.5,525.0,7.0
359,20190108,115959,875.9,1289.11,1134.0,10.0
360,20190108,122959,875.9,1017.38,898.0,7.0
361,20190108,125959,875.9,1289.82,992.0,7.0
362,20190108,132959,875.9,1083.04,853.0,7.0
363,20190108,135959,875.9,1283.5,869.0,5.0
364,20190108,142959,875.9,1098.13,758.0,7.0
365,20190108,145959,875.9,1175.01,673.0,6.0
366,20190108,152959,875.9,1070.4,500.0,5.0
367,20190108,155959,875.9,1323.87,564.0,6.0
368,20190108,162959,875.9,1221.71,979.0,7.0
369,20190108,165959,875.9,1487.12,563.0,7.0
370,20190108,172959,875.9,1059.52,880.0,8.0
371,20190108,175959,875.9,1374.08,764.0,9.0
372,20190108,182959,875.9,1055.66,1564.0,15.0
373,20190108,185959,875.9,1398.66,949.0,11.0
374,20190108,192959,875.9,1204.52,1024.0,12.0
375,20190108,195959,875.9,1303.51,204.0,3.0
376,20190108,202959,875.9,1133.25,782.0,11.0
377,20190108,205959,875.9,1259.98,310.0,6.0
378,20190108,212959,875.9,1256.82,333.0,5.0
379,20190108,215959,875.9,1321.77,474.0,7.0
380,20190108,222959,875.9,1043.73,432.0,6.0
381,20190108,225959,875.9,1172.92,541.0,4.0
382,20190108,232959,875.9,901.19,364.0,4.0
383,20190108,235959,875.9,833.79,0.0,0.0
384,20190109,2959,880.52,830.63,0.0,1.0
385,20190109,5959,880.52,806.04,0.0,1.0
386,20190109,12959,880.52,642.1,0.0,1.0
387,20190109,15959,880.52,645.26,0.0,0.0
388,20190109,22959,880.52,688.09,0.0,2.0
389,20190109,25959,880.52,1182.4,0.0,0.0
390,20190109,32959,880.52,1195.04,0.0,0.0
391,20190109,35959,880.52,1581.56,0.0,0.0
392,20190109,42959,880.52,1485.71,0.0,0.0
393,20190109,45959,880.52,1550.66,0.0,0.0
394,20190109,52959,880.52,1625.09,277.0,2.0
395,20190109,55959,880.52,1653.53,635.0,8.0
